# redirects.csv — observed legacy URLs → new canonical URLs
# STATUS: PARTIAL. Contains only URLs directly observed in the audit.
# Cycle 6 task: export full URL list from WordPress (or crawl) and complete this map 1:1 before cutover.
# All redirects are 301. centrifugeworld.com redirects page-level to the centrifuge.com equivalent of the same path.
legacy_url,new_url,note
/centrifuge-filtration-clarification-systems/,/services/,discovered-search-wayback
/centrifuge-inventory/,/inventory/,discovered-search-wayback
/centrifuge-parts-fabrication/,/services/parts-fabrication/,discovered-search-wayback
/centrifuge-parts-sales-mfg/,/services/parts-fabrication/,discovered-search-wayback
/centrifuge-repair-services/,/services/centrifuge-repair/,discovered-search-wayback
/centrifuge-repair/,/services/centrifuge-repair/,discovered-search-wayback
/centrifuges/,/services/,discovered-search-wayback
/contact-us/,/contact-cw/,discovered-search-wayback
/custom-centrifuge-manufactring/,/services/parts-fabrication/,discovered-search-wayback
/cw-ez-quote/,/cw-ez-quote-for-sales/,discovered-search-wayback
/dairy-centrifuge-repair-services/,/industries/dairy/,discovered-search-wayback
/disc-stack-separator-repair/,/services/disc-stack-centrifuge-repair/,discovered-search-wayback
/escher-wyss/,/brands/escher-wyss/,discovered-search-wayback
/fabrication/,/services/parts-fabrication/,discovered-search-wayback
/gearbox-repair-2/,/services/gearbox-repair/,discovered-search-wayback
/how-a-nozzle-separator-centrifuge-works/,/resources/how-it-works/nozzle-separator/,discovered-search-wayback
/how-a-self-cleaning-decanter-centrifuge-works/,/resources/how-it-works/self-cleaning-decanter/,discovered-search-wayback
/industrial-centrifuge-repair/,/services/centrifuge-repair/,discovered-search-wayback
/juice-fruit-centrifuge-repair-services/,/industries/food-beverage/,discovered-search-wayback
/ketema-tolhurst/,/brands/tolhurst/,discovered-search-wayback
/lynx-decanter-centrifuge-repair/,/brands/alfa-laval/,discovered-search-wayback
/media/,/resources/videos/,discovered-search-wayback
/nx418-with-vfd/,/brands/alfa-laval/,discovered-search-wayback
/pusher-peeler-repair/,/services/pusher-peeler-centrifuge-repair/,discovered-search-wayback
/robatel-rousselet/,/brands/rousselet-robatel/,discovered-search-wayback
/sharples-ds-705-super-d-canter/,/brands/sharples/,discovered-search-wayback
/sharples-p3400/,/brands/sharples/,discovered-search-wayback
/sharples-p5000/,/brands/sharples/,discovered-search-wayback
/sharples-p5400-super-decanter-centrifuge/,/brands/sharples/,discovered-search-wayback
/sharples-p5400/,/brands/sharples/,discovered-search-wayback
/sharples-xm706/,/brands/sharples/,discovered-search-wayback
/sitemap/,/,discovered-search-wayback
/text-centrifuge-world/,/contact-cw/,discovered-search-wayback
/the-joke-of-the-day/,/,discovered-search-wayback
/varonesi-centrifuge-repair/,/brands/veronesi/,discovered-search-wayback
/warranty-options/,/about/,discovered-search-wayback
/westfalia-ca505/,/brands/westfalia/,discovered-search-wayback
/westfalia-msa-100-01-076/,/brands/westfalia/,discovered-search-wayback
/westfalia-samm-12006/,/brands/westfalia/,discovered-search-wayback
/westfalia-sb14-06-076/,/brands/westfalia/,discovered-search-wayback
